"","100","500","rd"
"rd0.02","0.274259013333333","0.272625027733333","0.02"
"rd0.04","0.219986057777778","0.223544097540741","0.04"
"rd0.06","0.185361794074074","0.188826904948148","0.06"
"rd0.08","0.155275962962963","0.158768511111111","0.08"
"rd0.1","0.12954185037037","0.137772588148148","0.1"
"rd0.12","0.112000964444444","0.119579783940741","0.12"
"rd0.14","0.0929271244444444","0.104550415051852","0.14"
"rd0.16","0.0821630251851852","0.0959906833777778","0.16"
"rd0.18","0.0735382607407407","0.085357349037037","0.18"
"rd0.2","0.06802492","0.0767935961481481","0.2"
"rd0.22","0.0553923392592593","0.0712934295703704","0.22"
"rd0.24","0.0490784503703704","0.0670066453925926","0.24"
"rd0.26","0.041318557037037","0.0593350202666666","0.26"
"rd0.28","0.0446281837037037","0.0565825817481481","0.28"
"rd0.3","0.0378144844444445","0.0515160382222222","0.3"
"rd0.32","0.0332747111111111","0.0503091560888889","0.32"
"rd0.34","0.0325382281481482","0.046588272","0.34"
"rd0.36","0.0247127866666667","0.0435517632","0.36"
"rd0.38","0.0182440325925926","0.0421217204740741","0.38"
"rd0.4","0.0130951466666667","0.0419460386962963","0.4"
"rd0.42","0.0154221451851852","0.0395843309629629","0.42"
"rd0.44","0.018096562962963","0.035527834962963","0.44"
"rd0.46","0.0118694281481482","0.0329040164148148","0.46"
"rd0.48","0.00966828000000002","0.0338497202962963","0.48"
